SR NO,UID,PLAYER NAME,JOIN DATE,METHOD,RANK,STATUS,DEAFULT SCYN,REASON,LEAVE DATE,KICKED SCORE,KICKED STATUS,LAST TOTAL POINTS,CURRENT TOTAL POINTS,THIS WEEK WAR TOTAL POINTS,LAST WEEK WAR TOTAL POINTS,POINTS,WAR POINTS,REQUEST FOR TEMPORARY BREAK,CHANGE NAME,GUILDMATES FRIEND,TOTAL DAYS,MIN POINTS,POINTS LIMIT
26,2613323750,AKASH,May-27-2024,RECOMMENDED,MEMBER,KICKED,FF,KICKED BY RADHA YT,Nov-10-2024,10,YOU ARE BAN FROM GUILD,11450,11450,0,0,O,0,NO,,,167,6680,10000
27,2658546125,SATII,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-15-2024,1,YOU CAN JOIN TODAY,710,710,0,0,O,0,NO,,,105,4200,10000
28,2759396291,ALTAF 93,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Aug-20-2024,1,YOU CAN JOIN TODAY,930,930,0,0,O,0,NO,,,232,9280,10000
29,2788784531,NOOBBHAI 007,Jan-1-2024,RECOMMENDED,HELPER,KICKED,FF,KICKED BY EVIL YT,Nov-10-2024,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,108,108,14,14,O,0,NO,,,314,12560,10000
30,3736170764,ANU,Apr-18-2024,INVITE BY NS ROCKEY,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,2,YOU CAN JOIN JOIN AFTER 1 HR,140,140,0,0,O,0,NO,,,11,440,10000
31,4149681235,heart ❤️,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,NOT GIVING RESPECT TO LEADER,Jun-13-2024,9,YOU HAVE LAST CHANCE,9095,9095,60,60,O,0,NO,,,164,6560,10000
32,4215128594,CHERRY FF,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-11-2024,1,YOU CAN JOIN TODAY,1109,1109,0,0,O,0,NO,,,101,4040,10000
33,5648320590,IND BOSS 99,Apr-26-2024,RECOMMENDED,MEMBER,KICKED,FF,0 POINTS 6 DAY OFLINE RULE BREAK,May-17-2024,7,YOU HAVE ONLY 3 CHANCE TO IMPROVEMENT,430,430,0,0,O,0,NO,,,21,840,10000
34,6169480016,MIS ANGAL YT,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-22-2024,1,YOU CAN JOIN TODAY,490,490,0,0,O,0,NO,,,112,4480,10000
35,6291401400,DD RAJENDRA,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Jul-15-2024,1,YOU CAN JOIN TODAY,11467,11467,104,104,O,0,NO,,,196,7840,10000
36,6671315786,LIPUNBRO5864,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,4 DAY OFLINE LOW POINTS,Apr-16-2024,1,YOU CAN JOIN TODAY,2831,2831,0,0,O,0,NO,,,106,4240,10000
37,7506839262,SOKEN ANSR,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,2 DAY OFFLINE LOW POINT,Apr-16-2024,1,YOU CAN JOIN TODAY,920,920,0,0,O,0,NO,,,106,4240,10000
38,7637336549,KING4RO5,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-15-2024,1,YOU CAN JOIN TODAY,2608,2608,0,0,O,0,NO,,,105,4200,10000
39,7793552475,OPKINGDJOM,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-29-2024,1,YOU CAN JOIN TODAY,7762,7762,0,0,O,0,NO,,,119,4760,10000
40,8038422674,IFGTOSEEB,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT AND 2 DAY OFFLINE,Apr-15-2024,1,YOU CAN JOIN TODAY,420,420,0,0,O,0,NO,,,105,4200,10000
41,8457779887,LADI MACHHLI,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-16-2024,1,YOU CAN JOIN TODAY,730,730,0,0,O,0,NO,,,106,4240,10000
42,8658303389,SHONA ❤️,Jan-1-2024,INVITE BY EVIL YT,HELPER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,4490,4490,96,96,O,0,NO,NO,YES,440,17600,10000
43,1810590006,XI DOGLE,Apr-5-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,830,830,0,0,O,0,NO,,,24,960,10000
44,8688085408,PAGAL M10,Apr-5-2024,RECOMMENDED,MEMBER,KICKED,FF,2 DAY OFFLINE LOW POINT,Apr-16-2024,1,YOU CAN JOIN TODAY,662,662,0,0,O,0,NO,,,11,440,10000
